'dtype',id,'name',price,author,genre,publisher,controller_support
'Game',101,'MAGIX Photostory 2016 Deluxe',89.99,null,null,null,0
'Game',102,'Wing IDE 5',79.99,null,null,null,0
'Game',103,'Command: Modern Air / Naval Operations WOTY',79.99,null,null,null,0
'Game',104,'Muvee Reveal 11',79.99,null,null,null,0
'Game',105,'RPG Maker MV',79.99,null,null,null,0
'Game',106,'Gary Grigsbys War in the East',79.99,null,null,null,0
'Game',107,'Crazy Stone Deep Learning -The First Edition-',79.99,null,null,null,0
'Game',108,'SMILE GAME BUILDER',79.99,null,null,null,0
'Game',109,'Sceelix - Procedural Power',75,null,null,null,0
'Game',110,'akeytsu Indie',71.99,null,null,null,0
'Game',111,'RPG Maker VX Ace',69.99,null,null,null,0
'Game',112,'WorldCreator',69.99,null,null,null,0
'Game',113,'MAGIX Fastcut',69.99,null,null,null,0
'Game',114,'DP Animation Maker',69.99,null,null,null,0
'Game',115,'CyberLink PowerDirector 14 Ultra',69.99,null,null,null,0
'Game',116,'PD Howler 10',69.99,null,null,null,0
'Game',117,'CyberLink PhotoDirector 7 Ultra',69.99,null,null,null,0
'Game',118,'IPackThat',64.99,null,null,null,0
'Game',119,'FritzChess 15',64.99,null,null,null,0
'Game',120,'Call of Duty(r): Black Ops II',59.99,null,null,null,1
'Game',121,'Call of Duty(r): Black Ops II',59.99,null,null,null,1
'Game',122,'Call of Duty(r): Ghosts',59.99,null,null,null,1
'Game',123,'Call of Duty(r): Ghosts',59.99,null,null,null,1
'Game',124,'Call of Duty(r): Advanced Warfare - Gold Edition',59.99,null,null,null,1
'Game',125,'Call of Duty(r): Advanced Warfare - Gold Edition',59.99,null,null,null,1
'Game',126,'Just Cause(tm) 3',59.99,null,null,null,1
'Game',127,'You Need a Budget 4',59.99,null,null,null,0
'Game',128,'Dying Light: The Following - Enhanced Edition',59.99,null,null,null,1
'Game',129,'Distant Worlds: Universe',59.99,null,null,null,0
'Game',130,'XCOM(r) 2',59.99,null,null,null,0
'Game',131,'Grand Theft Auto V',59.99,null,null,null,1
'Game',132,'No Mans Sky',59.99,null,null,null,1
'Game',133,'A-Train 9 V4.0 : Japan Rail Simulator',59.99,null,null,null,0
'Game',134,'NBA 2K15',59.99,null,null,null,1
'Game',135,'DiRT Rally',59.99,null,null,null,1
'Game',136,'Street Fighter V',59.99,null,null,null,1
'Game',137,'Call of Duty(r): Black Ops III',59.99,null,null,null,1
'Game',138,'Movie Studio 13 Platinum - Steam Powered',59.99,null,null,null,0
'Game',139,'Spriter Pro',59.99,null,null,null,0
'Game',140,'Deus Ex: Mankind Divided',59.99,null,null,null,1
'Game',141,'001 Game Creator',59.99,null,null,null,0
'Game',142,'BLADESTORM: Nightmare',59.99,null,null,null,0
'Game',143,'The Secret World: Ultimate Edition',59.99,null,null,null,0
'Game',144,'MAGIX Audio Cleaning Lab 2016',59.99,null,null,null,0
'Game',145,'Toukiden: Kiwami',59.99,null,null,null,0
'Game',146,'Total War: WARHAMMER',59.99,null,null,null,0
